iter	Passed	Remaining
0	0	236
1	0	221
2	0	213
3	0	211
4	1	209
5	1	208
6	1	195
7	1	196
8	1	183
9	1	185
10	2	187
11	2	181
12	2	182
13	2	183
14	2	184
15	3	185
16	3	186
17	3	206
18	4	222
19	4	233
20	5	238
21	5	234
22	5	236
23	6	246
24	6	248
25	7	293
26	8	291
27	8	290
28	8	289
29	10	342
30	10	340
31	11	338
32	11	339
33	12	343
34	12	347
35	13	351
36	13	354
37	14	356
38	14	355
39	14	351
40	14	347
41	15	343
42	15	340
43	15	336
44	15	333
45	15	330
46	16	326
47	16	323
48	16	321
49	16	318
50	16	315
51	17	312
52	17	310
53	17	307
54	17	305
55	17	303
56	18	308
57	19	323
58	20	321
59	20	321
60	20	322
61	21	319
62	21	322
63	22	324
64	22	324
65	22	322
66	23	321
67	23	320
68	23	318
69	23	316
70	24	315
71	24	317
72	25	324
73	26	326
74	26	325
75	26	323
76	26	321
77	27	324
78	27	323
79	27	321
80	28	319
81	28	317
82	28	315
83	28	314
84	29	312
85	29	310
86	29	309
87	29	307
88	29	305
89	30	304
90	30	302
91	31	308
92	31	307
93	31	306
94	31	304
95	32	303
96	32	301
97	32	300
98	32	298
99	33	297
100	33	295
101	33	294
102	33	293
103	33	291
104	34	290
105	34	291
106	35	292
107	35	291
108	35	293
109	36	293
110109	55	450
110	56	450
111	57	458
112	58	457
113	58	455
114	59	454
115	59	453
116	60	457
117	60	454
118	61	452
119	61	449
120	62	451
121	62	453
122	63	453
123	64	455
124	64	453
125	64	450
126	65	447
127	65	445
128	65	442
129	65	440
130	66	437
131	66	435
132	66	433
133	67	433
134	67	432
135	67	431
136	68	430
137	69	431
138	69	433
139	70	433
140	71	432
141	71	432
142	72	432
143	72	431
144	72	430
145	73	427
146	73	425
147	73	423
148	73	421
149	74	419
150	74	417
151	74	415
152	74	413
153	75	413
154	75	411
155	75	409
156	76	408
157	76	407
158	77	411
159	78	413
160	79	412
161	79	411
162	79	409
163	79	407
164	80	406
165	81	408
166	81	408
167	82	407
168	82	407
169	83	408
170	84	407
171	84	405
172	84	404
173	85	404
174	85	403
175	85	401
176	86	400
177	86	399
178	86	397
179	86	395
180	87	393
181	87	392
182	87	390
183	87	388
184	88	389
185	89	392
186	90	391
187	91	393
188	92	396
189	92	395
190	93	394
191	93	394
192	93	392
193	94	393
194	95	394
195	96	394
196	96	392
197	96	392
198	97	391
199	97	390
200	98	390
201	100	398
202	102	402
203	103	402
204	103	400
205	103	399
206	104	398
207	104	397
208	104	395
209	104	394
210	105	392
211	105	391
212	105	389
213	105	388
214	106	387
215	106	385
216	106	384
217	106	383
218	107	382
219	107	381
220	108	380
221	108	380
222	108	379
223	109	378
224	109	378
225	110	377
226	110	376
227	110	375
228	111	374
229	111	373
230	111	372
231	112	371
232	112	370
233	112	369
234	113	368
235	113	367
236	113	366
237	114	365
238	114	364
239	114	363
240	115	363
241	115	363
242	116	361
243	116	360
244	116	359
245	116	358
246	117	357
247	117	356
248	118	355
249	118	355
250	118	354
251	118	353
252	119	352
253	119	350
254	119	349
255	120	349
256	120	348
257	120	347
258	120	346
259	121	344
260	121	343
261	121	342
262	121	341
263	122	340
264	122	339
265	122	339
266	123	338
267	123	337
268	124	337
269	124	336
270	124	336
271	125	335
272	125	334
273	125	333
274	126	332
275	126	332
276	126	331
277	127	330
278	127	329
279	127	328
280	128	327
281	128	326
282	128	325
283	128	324
284	129	324
285	129	324
286	130	323
287	130	323
288	130	321
289	131	321
290	131	320
291	131	319
292	131	317
293	132	317
294	132	316
295	132	315
296	132	314
297	133	313
298	133	312
299	133	312
300	134	311
301	134	310
302	134	310
303	135	309
304	135	308
305	135	307
306	136	307
307	136	306
308	136	305
309	136	304
310	136	303
311	137	302
312	137	301
313	137	300
314	137	299
315	138	298
316	138	297
317	138	297
318	138	296
319	139	295
320	139	294
321	139	294
322	140	293
323	140	292
324	140	292
325	140	291
326	141	290
327	141	290
328	142	289
329	142	288
330	142	288
331	142	287
332	143	286
333	143	286
334	143	285
335	144	285
336	144	284
337	145	284
338	145	283
339	145	282
340	146	282
341	146	281
342	146	281
343	147	280
344	147	279
345	147	279
346	148	278
347	148	278
348	148	277
349	148	276
350	149	275
351	149	275
352	149	274
353	150	274
354	150	273
355	150	272
356	150	271
357	151	271
358	151	270
359	151	270
360	152	269
361	152	268
362	152	267
363	152	267
364	153	266
365	153	265
366	153	265
367	154	264
368	154	263
369	154	263
370	154	262
371	155	262
372	155	261
373	155	260
374	156	260
375	156	259
376	156	258
377	156	257
378	157	257
379	157	256
380	157	256
381	158	255
382	158	255
383	158	254
384	159	254
385	159	253
386	159	253
387	160	252
388	160	252
389	161	252
390	161	251
391	161	251
392	162	250
393	162	250
394	162	249
395	163	248
396	163	248
397	163	247
398	163	246
399	164	246
400	164	245
401	164	244
402	164	244
403	165	243
404	165	243
405	165	242
406	166	242
407	166	241
408	167	241
409	167	240
410	167	240
411	168	240
412	168	239
413	168	238
414	169	238
415	169	237
416	169	237
417	169	236
418	170	236
419	170	235
420	170	234
421	170	233
422	171	233
423	171	233
424	171	232
425	172	231
426	172	231
427	172	230
428	173	230
429	173	229
430	173	229
431	174	229
432	174	228
433	175	228
434	175	228
435	175	227
436	176	227
437	176	226
438	177	227
439	177	226
440	178	226
441	178	225
442	179	225
443	179	224
444	179	224
445	180	224
446	180	223
447	181	223
448	181	222
449	181	222
450	182	222
451	182	221
452	183	221
453	183	220
454	183	219
455	183	219
456	184	218
457	184	218
458	184	217
459	184	217
460	185	216
461	185	216
462	185	215
463	186	214
464	186	214
465	187	214
466	187	213
467	187	213
468	188	212
469	188	212
470	188	211
471	189	211
472	189	211
473	189	210
474	190	210
475	190	209
476	190	209
477	191	208
478	191	208
479	191	207
480	192	207
481	192	207
482	193	206
483	193	206
484	194	206
485	194	205
486	194	205
487	195	204
488	195	204
489	195	203
490	196	203
491	196	202
492	196	202
493	197	201
494	197	201
495	197	200
496	198	200
497	198	199
498	198	199
499	198	198
500	199	198
501	199	198
502	199	197
503	200	197
504	200	196
505	200	196
506	201	195
507	201	195
508	201	194
509	201	193
510	202	193
511	202	193
512	202	192
513	203	192
514	203	191
515	203	191
516	204	190
517	204	190
518	204	189
519	204	189
520	205	188
521	205	188
522	205	187
523	205	187
524	206	186
525	206	186
526	207	185
527	207	185
528	207	185
529	208	184
530	208	184
531	208	183
532	209	183
533	209	182
534	209	182
535	209	181
536	210	181
537	210	180
538	210	180
539	211	179
540	211	179
541	211	178
542	211	178
543	212	177
544	212	177
545	212	176
546	212	176
547	213	175
548	213	175
549	213	175
550	214	174
551	214	174
552	214	173
553	215	173
554	215	172
555	216	172
556	216	172
557	216	171
558	216	171
559	217	170
560	217	170
561	217	169
562	218	169
563	218	168
564	218	168
565	219	168
566	219	167
567	219	167
568	220	166
569	220	166
570	220	165
571	221	165
572	221	165
573	221	164
574	222	164
575	222	163
576	222	163
577	223	162
578	223	162
579	223	162
580	224	161
581	224	161
582	224	160
583	225	160
584	225	159
585	225	159
586	225	158
587	226	158
588	226	157
589	226	157
590	227	157
591	227	156
592	227	156
593	227	155
594	228	155
595	228	154
596	228	154
597	229	153
598	229	153
599	229	153
600	229	152
601	230	152
602	230	151
603	230	151
604	231	150
605	231	150
606	231	150
607	231	149
608	232	149
609	232	148
610	232	148
611	233	147
612	233	147
613	233	146
614	234	146
615	234	146
616	234	145
617	234	145
618	235	144
619	235	144
620	235	143
621	235	143
622	235	142
623	236	142
624	236	142
625	236	141
626	237	141
627	237	140
628	237	140
629	238	139
630	238	139
631	238	138
632	238	138
633	239	138
634	239	137
635	239	137
636	239	136
637	240	136
638	240	135
639	240	135
640	240	134
641	241	134
642	241	134
643	241	133
644	242	133
645	242	132
646	242	132
647	242	131
648	242	131
649	243	130
650	243	130
651	243	130
652	243	129
653	244	129
654	244	128
655	244	128
656	244	127
657	245	127
658	245	127
659	245	126
660	245	126
661	246	125
662	246	125
663	246	124
664	247	124
665	247	124
666	247	123
667	247	123
668	248	122
669	248	122
670	248	121
671	248	121
672	249	121
673	249	120
674	249	120
675	250	119
676	250	119
677	250	119
678	251	118
679	251	118
680	251	117
681	252	117
682	252	117
683	252	116
684	252	116
685	253	115
686	253	115
687	253	115
688	253	114
689	254	114
690	254	113
691	254	113
692	254	112
693	255	112
694	255	112
695	255	111
696	256	111
697	256	110
698	256	110
699	256	110
700	257	109
701	257	109
702	257	108
703	257	108
704	258	108
705	258	107
706	258	107
707	259	106
708	259	106
709	259	106
710	259	105
711	260	105
712	260	104
713	260	104
714	260	103
715	261	103
716	261	103
717	261	102
718	261	102
719	262	101
720	262	101
721	262	101
722	263	100
723	263	100
724	263	100
725	263	99
726	264	99
727	264	98
728	264	98
729	265	98
730	265	97
731	265	97
732	265	96
733	266	96
734	266	96
735	266	95
736	267	95
737	267	94
738	267	94
739	267	94
740	268	93
741	268	93
742	268	93
743	269	92
744	269	92
745	269	91
746	269	91
747	270	91
748	270	90
749	270	90
750	271	89
751	271	89
752	271	89
753	272	88
754	272	88
755	272	87
756	272	87
757	273	87
758	273	86
759	273	86
760	274	86
761	274	85
762	274	85
763	274	84
764	274	84
765	275	84
766	275	83
767	275	83
768	275	82
769	275	82
770	276	82
771	276	81
772	276	81
773	276	80
774	277	80
775	277	80
776	277	79
777	278	79
778	278	78
779	278	78
780	278	78
781	279	77
782	279	77
783	279	77
784	279	76
785	280	76
786	280	75
787	280	75
788	280	75
789	281	74
790	281	74
791	281	73
792	282	73
793	282	73
794	282	72
795	282	72
796	283	72
797	283	71
798	283	71
799	283	70
800	284	70
801	284	70
802	284	69
803	284	69
804	285	69
805	285	68
806	285	68
807	285	67
808	286	67
809	286	67
810	286	66
811	286	66
812	287	66
813	287	65
814	287	65
815	288	64
816	288	64
817	288	64
818	288	63
819	289	63
820	289	63
821	289	62
822	289	62
823	290	61
824	290	61
825	290	61
826	290	60
827	291	60
828	291	60
829	291	59
830	292	59
831	292	59
832	292	58
833	292	58
834	292	57
835	293	57
836	293	57
837	293	56
838	293	56
839	294	56
840	294	55
841	294	55
842	294	54
843	295	54
844	295	54
845	295	53
846	295	53
847	295	53
848	296	52
849	296	52
850	296	51
851	296	51
852	297	51
853	297	50
854	298	50
855	298	50
856	298	49
857	298	49
858	299	49
859	299	48
860	299	48
861	300	48
862	300	47
863	300	47
864	301	47
865	301	46
866	301	46
867	302	45
868	302	45
869	302	45
870	302	44
871	302	44
872	303	44
873	303	43
874	303	43
875	303	43
876	304	42
877	304	42
878	304	41
879	305	41
880	305	41
881	305	40
882	306	40
883	306	40
884	306	39
885	307	39
886	307	39
887	307	38
888	307	38
889	307	38
890	308	37
891	308	37
892	308	37
893	309	36
894	309	36
895	309	35
896	309	35
897	309	35
898	310	34
899	310	34
900	310	34
901	311	33
902	311	33
903	311	33
904	312	32
905	312	32
906	312	32
907	312	31
908	313	31
909	313	31
910	314	30
911	314	30
912	314	29
913	315	29
914	315	29
915	315	28
916	315	28
917	316	28
918	316	27
919	316	27
920	316	27
921	317	26
922	317	26
923	317	26
924	318	25
925	318	25
926	318	25
927	318	24
928	319	24
929	319	24
930	319	23
931	320	23
932	320	22
933	320	22
934	320	22
935	320	21
936	320	21
937	321	21
938	321	20
939	321	20
940	321	20
941	321	19
942	322	19
943	322	19
944	322	18
945	322	18
946	322	18
947	323	17
948	323	17
949	323	17
950	323	16
951	323	16
952	324	15
953	324	15
954	324	15
955	324	14
956	325	14
957	325	14
958	325	13
959	326	13
960	326	13
961	326	12
962	326	12
963	326	12
964	327	11
965	327	11
966	327	11
967	327	10
968	328	10
969	328	10
970	328	9
971	328	9
972	329	9
973	329	8
974	329	8
975	329	8
976	330	7
977	330	7
978	330	7
979	330	6
980	330	6
981	331	6
982	331	5
983	331	5
984	331	5
985	331	4
986	332	4
987	332	4
988	332	3
989	332	3
990	333	3
991	333	2
992	333	2
993	333	2
994	333	1
995	334	1
996	334	1
